id,anoMes,contrato,noContrato,fechaOc,servicio,nombreCliente,titular,noPoliza,assistance,origen,importe,telefono,placa
17,202204,GNP BANCA POR EXPUESTO ,24222808299,11/6/2020,PAGO DIRECTO ,SEGUROS ATLAS ,Whilemina Deleon,16610329 2097,NANCY,Montenegro,7432,559-403-6647,Z1A 0N0
18,202112,MAZDA ,32213688499,1/16/2021,PAGO DIRECTO ,MAZDA ,Cheryl Osborne,16100923 6470,CESAR,Israel,2871,552-191-3051,Z0Z 2I5
19,202201,GNP BANCA POR EXPUESTO ,87968802399,2/24/2022,PAGO DIRECTO ,GONER,Xander Solomon,16270712 5130,SUSANA,Bahrain,1997,559-269-7815,Z0K 6T8
20,202108,MAPFRE HOSPITALIZACION FAMILIAR ,97206101399,1/4/2022,GRUA ,SEGUROS ATLAS ,Ferris Hunt,16830417 7572,EDGAR,"Virgin Islands, United States",7345,552-525-0343,Y9T 2V4
21,202203,GNP SINIESTROS REGULARES,99584337099,1/23/2021,AUXILIO VIAL ,GNP ,Beck Booker,16400903 1693,NANCY,Saint Lucia,6524,551-699-6452,Y9S 1C5
22,202111,SEGUROS ATLAS AUTOS 15-20 AÑOS,82934448999,10/29/2021,PAGO DIRECTO ,MAZDA ,Bianca Gillespie,16320218 1032,MARISOL,Yemen,4594,552-829-8766,Z6K 3M9
23,202107,MAPFRE HOSPITALIZACION FAMILIAR ,83427818399,9/18/2021,PAGO DIRECTO ,MAZDA ,Price Noel,16070127 4995,MARISOL,Western Sahara,9053,558-891-8719,Y8Y 6T1
24,202110,MAPFRE HOSPITALIZACION FAMILIAR ,94763862099,4/3/2022,URGENCIAS HOSPITAL ,SEGUROS ATLAS ,Thaddeus Walton,16710428 2491,TANIA,Micronesia,7766,558-364-9533,Y7I 4P6
25,202202,GERNERAL MOTORS - ASISTENCIA ,45348198699,9/9/2020,COMBUSTIBLE ,GONER,Justine Fischer,16220106 2623,NANCY,Eritrea,343,558-898-6660,Y7F 7B2
26,202203,GNP SINIESTROS REGULARES,70201565399,7/1/2020,COMBUSTIBLE ,GENERAL MOTORS ,Justin Russo,16870509 2818,SUEMY,Somalia,1714,555-654-6327,Y5F 5M0
27,202110,MAPFRE ESPAÑA - CORRESPONSALIA ,76937191699,7/14/2021,GRUA ,MAPFRE ASISTENCIA ,Isaac Mckay,16800320 6276,EDGAR,Italy,4144,550-931-9416,Y4Y 8J6
28,202106,MAPFRE TEPEYAC AUTO ,68889189199,2/15/2021,URGENCIAS HOSPITAL ,MAPFRE ASISTENCIA ,Perry Scott,16270418 8099,SUSANA,Czech Republic,1063,550-715-5870,Y4Q 4W9
29,202203,MAPFRE ESPAÑA - CORRESPONSALIA ,96275182699,6/26/2021,COMBUSTIBLE ,SEGUROS ATLAS ,Amery Cochran,16910418 4594,SUEMY,"Korea, North",2579,556-777-8620,Y3Y 4E1
30,202108,GNP SINIESTROS REGULARES,99608299199,3/24/2022,GRUA ,GNP ,Quon Floyd,16590522 4795,MARISOL,Syria,7606,553-175-2307,Y3O 8W5
31,202106,MAZDA ,53482553999,3/13/2022,GRUA ,SEGUROS ATLAS ,Eden Osborn,16700717 7699,SUEMY,Romania,8073,557-885-0173,Y3F 9M1
32,202112,SEGUROS ATLAS AUTOS 15-20 AÑOS,844668999,7/13/2021,GRUA ,GENERAL MOTORS ,Erica Gordon,16890918 5871,SUEMY,Rwanda,7735,550-715-5870,Y2C 1Y7
33,202112,MAZDA ,73547595999,2/13/2022,GRUA ,MAPFRE ASISTENCIA ,Nathaniel Berger,16630503 7548,TANIA,Trinidad and Tobago,9550,556-483-0733,Y1S 5O1
34,202105,MAZDA ,68591490899,10/14/2021,CASETAS ,MAZDA ,Nayda Gaines,16010122 4756,EDGAR,Algeria,2522,556-134-9746,Y1S 5O1
35,202109,MAPFRE HOSPITALIZACION FAMILIAR ,79224422699,5/12/2021,COMBUSTIBLE ,MAPFRE SEGUROS ,Natalie Foreman,16630707 9589,CESAR,Togo,2581,552-707-4209,Y1S 5O1
36,202205,GNP SINIESTROS REGULARES,74410007799,2/24/2022,COMBUSTIBLE ,GNP ,Yolanda Maynard,16780318 5805,SUEMY,Suriname,6894,555-869-8130,Y1R 3F9
37,202105,MAPFRE SEGUROS REGULARES ,95459871999,3/19/2021,CASETAS ,MAPFRE SEGUROS ,Emerson Vasquez,16850817 1793,NANCY,Timor-Leste,790,550-715-5870,Y1D 2Z3
38,202105,SEGUROS ATLAS AUTOS 15-20 AÑOS,82901760699,12/22/2021,GRUA ,GENERAL MOTORS ,Palmer Bass,16750507 8431,SUEMY,Anguilla,3009,554-127-1982,Z6K 3M9
39,202112,GNP BANCA POR EXPUESTO ,70376452399,5/4/2022,COMBUSTIBLE ,GENERAL MOTORS ,Keefe Travis,16730118 7360,CESAR,New Caledonia,5845,552-733-5300,X9L 5A4
40,202109,GNP SINIESTROS REGULARES,79929979299,6/17/2020,CASETAS ,GENERAL MOTORS ,Ethan Molina,16891130 3314,NANCY,Holy See (Vatican City State),8166,550-359-4092,X8Z 8U4
41,202112,MAPFRE TEPEYAC AUTO ,92954157399,4/25/2021,GRUA ,MAZDA ,Bree Price,16620114 6609,NANCY,Ecuador,282,550-795-8448,X7O 5C6
42,202203,SEGUROS ATLAS AUTOS 15-20 AÑOS,20601808699,10/24/2020,PAGO DIRECTO ,GNP ,Mikayla Sloan,16030904 1416,EDGAR,Botswana,1549,552-198-4933,X7B 2D7
43,202109,GNP SINIESTROS REGULARES,68953127899,4/7/2021,CASETAS ,MAPFRE ASISTENCIA ,Jordan Robertson,16051016 6143,TANIA,Czech Republic,942,557-338-7209,X6W 4B2
44,202105,GNP SINIESTROS REGULARES,56911128899,10/30/2020,CASETAS ,SEGUROS ATLAS ,Omar Nash,16850607 9162,SUEMY,Yemen,9530,553-900-7682,X6E 5Q0
45,202111,GERNERAL MOTORS - ASISTENCIA ,46758987099,6/27/2020,AUXILIO VIAL ,GONER,Noah Townsend,16020214 1131,SUEMY,Switzerland,5948,556-207-3987,X5V 7R5
46,202107,GNP BANCA POR EXPUESTO ,67692128299,9/16/2021,AUXILIO VIAL ,MAPFRE ASISTENCIA ,Aquila Mason,16250309 2609,TANIA,Mexico,2286,553-181-8350,X5S 7O3
47,202201,GNP DESBORDE ,15785839299,8/28/2020,CASETAS ,GENERAL MOTORS ,Jemima Foley,16010122 4756,NANCY,Central African Republic,3336,555-771-8999,X5K 9U7
48,202109,SEGUROS ATLAS AUTOS 15-20 AÑOS,15819532899,1/10/2021,PAGO DIRECTO ,SEGUROS ATLAS ,Odette Abbott,16330803 4762,EDGAR,Western Sahara,5774,557-591-9785,X4O 1L5
49,202202,MAPFRE TEPEYAC AUTO ,48927823299,6/20/2020,COMBUSTIBLE ,SEGUROS ATLAS ,Cherokee Powers,16270328 7710,EDGAR,Jamaica,6440,559-607-0921,X4C 8L7
50,202107,GNP DESBORDE ,56225803299,4/7/2022,URGENCIAS HOSPITAL ,GONER,Denton Castaneda,16210529 3647,SUEMY,Vanuatu,4385,557-536-2127,X3B 3V2
51,202201,MAPFRE TEPEYAC AUTO ,70738991299,11/28/2021,GRUA ,MAPFRE ASISTENCIA ,Galena Wilkerson,16850607 9162,MARISOL,Libya,9682,559-795-5695,X2I 6M1
52,202202,MAPFRE HOSPITALIZACION FAMILIAR ,8271073699,1/11/2022,AUXILIO VIAL ,MAZDA ,Gretchen Hernandez,16630321 4404,SUEMY,Viet Nam,8881,554-965-2938,X1J 6E0
53,202203,MAPFRE HOSPITALIZACION FAMILIAR ,90378622199,7/8/2020,PAGO DIRECTO ,MAPFRE SEGUROS ,Yoko Shepherd,16420327 4925,MARISOL,Israel,7406,559-968-2745,X0U 8I3
54,202109,MAPFRE HOSPITALIZACION FAMILIAR ,8284924299,2/4/2022,CASETAS ,GENERAL MOTORS ,Gwendolyn Massey,16480206 0766,MARISOL,Switzerland,8808,559-518-2974,W9M 5L7
55,202109,MAPFRE HOSPITALIZACION FAMILIAR ,4331837599,10/19/2021,COMBUSTIBLE ,MAZDA ,Mary Underwood,16700713 5093,CESAR,Switzerland,6233,557-225-4267,W9G 0W2
56,202201,MAZDA ,79576372999,2/5/2021,COMBUSTIBLE ,GONER,Clayton Little,16430723 8784,MARISOL,Malawi,8594,553-653-3870,W8O 3S0
57,202203,GNP BANCA POR EXPUESTO ,54362121199,10/22/2021,COMBUSTIBLE ,GENERAL MOTORS ,Bruno Lamb,16650128 6782,EDGAR,Benin,5441,559-132-9297,W8F 2P2
58,202203,MAPFRE ESPAÑA - CORRESPONSALIA ,36978006599,9/5/2021,PAGO DIRECTO ,MAZDA ,Nichole Sexton,16170314 2529,EDGAR,Costa Rica,3706,557-585-7095,W7Z 0Y5
59,202108,GNP SINIESTROS REGULARES,49243299199,2/26/2021,AUXILIO VIAL ,GONER,Basil Simpson,16370312 1669,SUEMY,Faroe Islands,7973,551-130-2128,W7X 4A1
60,202112,GNP SINIESTROS REGULARES,11931943799,5/2/2021,PAGO DIRECTO ,MAZDA ,Fletcher Anthony,16590906 4817,NANCY,United States Minor Outlying Islands,9308,556-106-1114,W6W 4L0
61,202204,GNP DESBORDE ,48335299499,2/16/2022,PAGO DIRECTO ,GENERAL MOTORS ,Lani Odonnell,16130429 9215,EDGAR,Djibouti,1081,552-468-3766,W6T 0R4
62,202107,MAPFRE ESPAÑA - CORRESPONSALIA ,3214807499,7/3/2021,AUXILIO VIAL ,MAPFRE ASISTENCIA ,Quincy Morrison,16730228 4562,NANCY,Malaysia,8847,555-370-4709,W6R 3X5
63,202105,GNP BANCA POR EXPUESTO ,28964558299,7/10/2021,COMBUSTIBLE ,MAPFRE SEGUROS ,Britanni Wade,16530323 2051,CESAR,Montserrat,6224,553-113-5079,W6O 4O3
64,202203,MAPFRE ESPAÑA - CORRESPONSALIA ,24493656399,1/28/2022,PAGO DIRECTO ,MAPFRE ASISTENCIA ,Nigel Ramsey,16531202 7229,EDGAR,Netherlands,923,557-129-7925,W6H 4X1
65,202110,GERNERAL MOTORS - ASISTENCIA ,66819377299,8/5/2020,COMBUSTIBLE ,SEGUROS ATLAS ,Bianca Burks,16890826 3844,SUSANA,Pitcairn Islands,3875,555-210-8587,W6E 4U2
66,202112,MAPFRE SEGUROS REGULARES ,79275354199,6/17/2020,GRUA ,MAPFRE SEGUROS ,Tad Hudson,16140924 0858,MARISOL,Guadeloupe,6650,550-151-9957,W6C 9U3
67,202203,MAPFRE TEPEYAC AUTO ,8531342099,10/4/2020,GRUA ,MAPFRE ASISTENCIA ,Jarrod Brewer,16300503 0717,NANCY,Slovakia,8568,552-794-9366,W5J 8Y0
68,202204,GNP DESBORDE ,83486638499,2/3/2022,GRUA ,GNP ,Tyler Gallegos,16390526 3012,CESAR,Greenland,2198,555-488-6509,W3Z 9F7
69,202107,GERNERAL MOTORS - ASISTENCIA ,76684661199,3/18/2022,COMBUSTIBLE ,SEGUROS ATLAS ,Odessa Tillman,16070127 4995,CESAR,Central African Republic,9910,553-728-1271,W3V 8E0
70,202109,MAPFRE TEPEYAC AUTO ,33594080599,10/27/2021,PAGO DIRECTO ,SEGUROS ATLAS ,Hadley Mayo,16110230 4530,SUSANA,Tonga,5294,551-959-8499,W2R 9G0
71,202108,MAPFRE ESPAÑA - CORRESPONSALIA ,365152999,9/5/2020,CASETAS ,GONER,Octavia Barton,16291013 1917,CESAR,Côte D'Ivoire (Ivory Coast),8599,551-804-6936,W2A 4Q7
72,202109,MAZDA ,31773894899,7/5/2020,CASETAS ,MAZDA ,Emily Brown,16800424 1041,EDGAR,Mexico,2492,559-521-2194,W1V 2X2
73,202108,GNP DESBORDE ,15594760599,8/11/2020,AUXILIO VIAL ,MAPFRE ASISTENCIA ,Ava Merrill,16150320 9411,MARISOL,Tonga,369,553-268-9206,W1O 7U8
74,202108,GNP SINIESTROS REGULARES,75822477399,10/16/2021,GRUA ,MAPFRE ASISTENCIA ,Amela Hinton,16781203 9944,CESAR,Cameroon,8838,551-984-0411,W1J 0J5
75,202205,MAPFRE TEPEYAC AUTO ,78787689099,2/10/2022,URGENCIAS HOSPITAL ,GONER,Germaine Brown,16320325 5363,SUSANA,Sao Tome and Principe,2296,554-939-0557,W0X 6H4
76,202109,MAPFRE ESPAÑA - CORRESPONSALIA ,98579875799,10/8/2021,AUXILIO VIAL ,SEGUROS ATLAS ,Barry Lancaster,16821220 0516,EDGAR,Central African Republic,4123,556-127-0641,W0X 0H2
77,202109,MAPFRE ESPAÑA - CORRESPONSALIA ,77852536499,4/10/2022,CASETAS ,GENERAL MOTORS ,Caryn Pickett,16920107 4953,EDGAR,Angola,1327,553-688-8134,W0X 0H2
78,202204,GERNERAL MOTORS - ASISTENCIA ,61619603899,1/23/2021,URGENCIAS HOSPITAL ,MAPFRE ASISTENCIA ,Clementine Sosa,16050715 3336,NANCY,Zambia,5775,555-822-8754,V9C 3P9
79,202109,MAPFRE TEPEYAC AUTO ,74977523599,7/15/2020,PAGO DIRECTO ,GNP ,Alma Diaz,16920807 1671,EDGAR,Malaysia,1250,559-774-4735,V9A 4W7
80,202108,GNP DESBORDE ,72783383299,10/19/2020,GRUA ,GENERAL MOTORS ,Adrian Davidson,16340617 9386,SUSANA,Guernsey,2814,554-738-4180,V8Y 2D2
81,202112,GNP DESBORDE ,84965128199,7/11/2020,AUXILIO VIAL ,MAZDA ,Amela Holder,16011219 1895,TANIA,Japan,4807,554-119-6252,V8U 4P8
82,202204,GNP BANCA POR EXPUESTO ,26686838499,12/6/2020,AUXILIO VIAL ,MAPFRE SEGUROS ,Jennifer Roth,16790421 2581,MARISOL,French Southern Territories,9174,554-678-5749,V8P 9K8
83,202105,MAPFRE SEGUROS REGULARES ,96564300899,7/20/2020,AUXILIO VIAL ,GNP ,Seth Richard,16450622 4015,EDGAR,Marshall Islands,1558,554-585-6202,V8C 2U2
84,202202,MAPFRE SEGUROS REGULARES ,10592779799,1/4/2021,PAGO DIRECTO ,GENERAL MOTORS ,Thaddeus Walton,16870509 2818,SUSANA,Serbia,8357,556-474-3836,V7W 3R6
85,202205,MAPFRE SEGUROS REGULARES ,31839978499,12/2/2021,COMBUSTIBLE ,MAPFRE ASISTENCIA ,Rooney Sampson,16270101 3951,EDGAR,Suriname,6496,557-649-8454,V7A 6G4
86,202107,GNP DESBORDE ,82983821099,6/25/2020,COMBUSTIBLE ,MAZDA ,Basil Olsen,16390325 3742,CESAR,Solomon Islands,6838,558-335-8190,V5H 6T5
87,202202,MAPFRE TEPEYAC AUTO ,69277249899,6/16/2020,COMBUSTIBLE ,GONER,Anthony Dennis,16320509 8944,MARISOL,French Polynesia,5254,552-402-5087,V4K 8X7
88,202111,MAZDA ,71833948199,12/20/2020,PAGO DIRECTO ,GNP ,Caryn Hayes,16681019 1525,CESAR,Ecuador,4946,557-267-4743,V4F 4J9
89,202111,MAPFRE SEGUROS REGULARES ,43483908399,10/30/2021,PAGO DIRECTO ,MAPFRE SEGUROS ,Yuri Schneider,16090115 6364,SUSANA,Brazil,8289,558-470-5445,V3M 8F2
90,202110,GNP SINIESTROS REGULARES,29372971199,6/30/2020,CASETAS ,SEGUROS ATLAS ,Fleur Fletcher,16090313 8303,TANIA,Singapore,4493,556-134-9315,V2X 2M9
91,202108,GNP BANCA POR EXPUESTO ,46397485699,6/9/2021,PAGO DIRECTO ,MAPFRE ASISTENCIA ,Mariko Villarreal,16361020 2271,TANIA,Zambia,7548,557-225-4267,V2I 3T5
92,202201,MAPFRE ESPAÑA - CORRESPONSALIA ,11861666399,3/16/2021,AUXILIO VIAL ,GENERAL MOTORS ,Paki Sharpe,16670504 4946,NANCY,Nauru,9515,552-125-8542,V2G 7P7
93,202205,MAPFRE SEGUROS REGULARES ,10588748799,5/1/2021,CASETAS ,GENERAL MOTORS ,Inez Moody,16570910 4912,EDGAR,"Congo, the Democratic Republic of the",7630,551-507-4905,V2B 3N4
94,202203,GNP DESBORDE ,18623619499,10/22/2020,AUXILIO VIAL ,MAZDA ,September Gay,16960819 0717,TANIA,Suriname,3709,557-695-8512,V1T 6L5
95,202107,MAPFRE SEGUROS REGULARES ,8438702899,7/1/2021,COMBUSTIBLE ,GNP ,Sean Kemp,16590614 0776,SUSANA,Barbados,3774,557-208-3936,V1T 6L5
96,202107,MAPFRE SEGUROS REGULARES ,62655778099,4/29/2021,CASETAS ,GONER,Serena Dyer,16321019 0777,SUSANA,South Georgia and The South Sandwich Islands,8872,557-148-7037,V1T 6L5
97,202110,MAZDA ,24869690199,12/13/2021,CASETAS ,MAZDA ,Serina Morrow,16610711 9361,MARISOL,Peru,7354,553-307-8623,V1T 6L5
98,202201,GERNERAL MOTORS - ASISTENCIA ,52530749499,5/28/2020,GRUA ,GENERAL MOTORS ,Serina Spencer,16531204 8647,SUEMY,Cameroon,9171,551-350-3725,V1T 6L5
99,202111,MAPFRE ESPAÑA - CORRESPONSALIA ,5855435399,3/11/2021,AUXILIO VIAL ,MAZDA ,Selma Romero,16430613 0206,NANCY,Colombia,2582,550-855-8544,V1T 6L5
100,202204,MAPFRE HOSPITALIZACION FAMILIAR ,79474511599,5/26/2021,COMBUSTIBLE ,MAZDA ,Quynn Lancaster,16030823 9482,EDGAR,Tuvalu,9835,555-816-6618,V0N 7R6
101,202108,SEGUROS ATLAS AUTOS 15-20 AÑOS,19901234599,4/8/2022,AUXILIO VIAL ,GNP ,Akeem Webster,16620701 5972,TANIA,Azerbaijan,8261,550-824-4338,V0N 1N1
102,202106,GNP DESBORDE ,16214654199,6/3/2020,CASETAS ,GNP ,Yvonne Mccall,16950623 3262,NANCY,Cameroon,1041,553-729-5099,U9Z 6G9
103,202109,MAPFRE ESPAÑA - CORRESPONSALIA ,27228913599,7/22/2021,URGENCIAS HOSPITAL ,MAZDA ,Vivian Cooke,16450922 4954,MARISOL,Canada,9703,550-526-5513,U9M 7J8
104,202201,GNP BANCA POR EXPUESTO ,91749253699,3/2/2021,URGENCIAS HOSPITAL ,SEGUROS ATLAS ,Matthew Knapp,16990528 3967,CESAR,South Sudan,9238,552-419-6719,U8V 5T1
105,202203,MAPFRE SEGUROS REGULARES ,45583025799,3/11/2022,CASETAS ,MAZDA ,Alexa West,16610423 0476,NANCY,Madagascar,1195,556-102-3099,U8R 9D6
106,202109,GNP DESBORDE ,83555757399,7/13/2020,PAGO DIRECTO ,MAPFRE SEGUROS ,Beck Small,16430514 8324,SUEMY,Cambodia,1941,557-915-2144,U8G 2M6
107,202106,GNP SINIESTROS REGULARES,59773278199,10/4/2021,URGENCIAS HOSPITAL ,GNP ,Gregory Kirby,16700717 7699,SUEMY,Australia,5984,559-601-3595,U7O 7Y4
108,202204,MAPFRE TEPEYAC AUTO ,34498570099,3/1/2021,PAGO DIRECTO ,MAPFRE ASISTENCIA ,Ali Alexander,16730401 5030,SUEMY,Jersey,7452,558-462-2930,U7H 3K1
109,202201,MAPFRE SEGUROS REGULARES ,35808060899,2/20/2021,GRUA ,GNP ,Jordan Hull,16840412 8970,NANCY,Oman,1168,555-374-1920,U6G 4J8
110,202205,MAPFRE TEPEYAC AUTO ,12436778099,6/16/2021,URGENCIAS HOSPITAL ,SEGUROS ATLAS ,Germaine Dejesus,16320113 1004,TANIA,Latvia,8031,557-714-2474,U5N 5F8
111,202201,MAPFRE ESPAÑA - CORRESPONSALIA ,80972333199,9/19/2020,COMBUSTIBLE ,MAZDA ,Hayley Morin,16780309 4346,SUSANA,Namibia,9257,551-847-8918,U5J 3O3
112,202203,GNP SINIESTROS REGULARES,30998946499,12/9/2020,PAGO DIRECTO ,SEGUROS ATLAS ,Marshall Mcfarland,16970805 3658,MARISOL,Niger,314,557-225-4267,U5I 9Z1
113,202110,MAZDA ,75961475399,1/13/2022,PAGO DIRECTO ,GENERAL MOTORS ,Upton Booth,16830125 5488,CESAR,El Salvador,8832,554-912-2456,U5I 7J6
114,202107,GERNERAL MOTORS - ASISTENCIA ,7868865699,3/2/2022,AUXILIO VIAL ,GNP ,Hadassah Castro,16301018 9714,TANIA,Zimbabwe,4096,554-378-9734,U5A 7K1
115,202111,GNP SINIESTROS REGULARES,16722019399,3/17/2022,URGENCIAS HOSPITAL ,MAZDA ,Heather Garrett,16000529 2867,NANCY,Portugal,4116,552-262-9624,U4G 8J8
116,202108,GERNERAL MOTORS - ASISTENCIA ,97259850099,9/15/2020,URGENCIAS HOSPITAL ,SEGUROS ATLAS ,Rooney Edwards,16370806 3270,CESAR,Oman,4163,556-630-3923,U3N 1T1
117,202203,GNP BANCA POR EXPUESTO ,75640171599,3/22/2022,AUXILIO VIAL ,GNP ,Beau Miles,16930819 3649,SUEMY,Belarus,715,551-933-8971,U3M 7R1
118,202108,MAZDA ,22321041299,8/4/2021,AUXILIO VIAL ,MAPFRE ASISTENCIA ,Xena Stephenson,16181211 6711,TANIA,Laos,667,559-269-7815,U3D 9U5
119,202204,MAPFRE HOSPITALIZACION FAMILIAR ,37359443299,11/14/2020,PAGO DIRECTO ,GENERAL MOTORS ,Robin Frazier,16971224 2149,CESAR,Gabon,3894,554-800-6608,U1Z 7Y6
120,202110,SEGUROS ATLAS AUTOS 15-20 AÑOS,76351078499,5/30/2021,GRUA ,SEGUROS ATLAS ,Aubrey Barnett,16660817 3941,NANCY,Mayotte,2269,557-124-7116,U1P 3M7
121,202111,GNP DESBORDE ,35238024399,10/2/2020,GRUA ,MAZDA ,Baker Silva,16100319 1275,TANIA,Zimbabwe,520,556-162-7048,U1H 0R7
122,202201,GERNERAL MOTORS - ASISTENCIA ,59318303799,5/17/2022,GRUA ,MAPFRE SEGUROS ,Coby Grimes,16040214 7144,NANCY,Gibraltar,6286,554-970-4240,U0Z 8Y1
123,202107,MAPFRE TEPEYAC AUTO ,95494105699,5/28/2022,URGENCIAS HOSPITAL ,SEGUROS ATLAS ,Justine Fischer,16840121 5978,CESAR,Moldova,2335,558-288-1861,U0K 1T9
124,202108,GERNERAL MOTORS - ASISTENCIA ,6299886499,5/4/2021,PAGO DIRECTO ,MAPFRE ASISTENCIA ,Lila Talley,16220127 2545,CESAR,Philippines,7468,555-545-9379,U0I 9C8
125,202111,MAPFRE TEPEYAC AUTO ,15478173699,2/6/2021,COMBUSTIBLE ,SEGUROS ATLAS ,Mallory Delaney,16330827 8328,TANIA,Somalia,2959,552-896-9987,T8Y 4W7
126,202203,GERNERAL MOTORS - ASISTENCIA ,54376534799,3/27/2022,GRUA ,GONER,Guy Gibbs,16960819 0717,MARISOL,Burkina Faso,2746,558-375-4776,T8I 9I0
127,202205,GNP BANCA POR EXPUESTO ,34941990899,9/7/2021,GRUA ,GONER,Gage Waller,16410603 8195,CESAR,Ireland,4986,558-755-3885,T8G 6C0
128,202109,GNP SINIESTROS REGULARES,57254115099,1/16/2022,AUXILIO VIAL ,GNP ,Clementine Mcdowell,16710721 1174,NANCY,Afghanistan,4580,550-638-5696,T7R 2N4
129,202201,GNP BANCA POR EXPUESTO ,63964894999,11/9/2021,CASETAS ,GONER,Orlando Shepherd,16070901 1894,TANIA,Paraguay,7055,551-597-8907,T7L 7O4
130,202202,MAPFRE ESPAÑA - CORRESPONSALIA ,78511954999,1/18/2021,PAGO DIRECTO ,MAZDA ,Sade Stark,16750614 2145,MARISOL,Monaco,2451,555-143-1892,T7D 4N8
131,202201,GERNERAL MOTORS - ASISTENCIA ,21653139399,9/10/2020,URGENCIAS HOSPITAL ,GENERAL MOTORS ,Aspen English,16050314 7126,TANIA,"Congo, the Democratic Republic of the",9346,552-295-3452,T6Y 5W1
132,202106,MAPFRE SEGUROS REGULARES ,90322997599,2/21/2022,GRUA ,MAPFRE ASISTENCIA ,Ora Ross,16781203 9944,EDGAR,Mongolia,4549,550-415-2016,T6Q 8O6
133,202109,MAZDA ,64843188299,5/4/2022,CASETAS ,MAZDA ,Kareem Kramer,16190608 7745,CESAR,Kazakhstan,3844,558-926-3235,T6L 5L8
134,202204,MAPFRE TEPEYAC AUTO ,54366611599,4/2/2021,PAGO DIRECTO ,MAZDA ,Rama Goodwin,16150102 6452,TANIA,Guinea,5871,558-951-7330,T6L 3Q3
135,202106,MAPFRE HOSPITALIZACION FAMILIAR ,59232345399,3/26/2022,PAGO DIRECTO ,GENERAL MOTORS ,Hall Espinoza,16350518 3651,CESAR,Reunion,5471,552-504-2255,T6E 4Z5
